name,nation,foldered,rank,role,mainArm,main_arm_diameter,purchase_type,is_premium,is_reserve,br_ab,br_rb,br_sb,repair_ab,repair_rb,repair_sb,sl_mod_ab,sl_mod_rb,sl_mod_sb,rp_mod_ab,rp_mod_rb,rp_mod_sb,main_reload_base,main_reload_upgraded,forward_ab,forward_rbsb,reverse_ab,reverse_rbsb,stabilizer,can_float,smoke_grenade,ess,night_vision,revers_gear,rangefinder,dozer,autoloader,era_armor,thermal_vision,laser_rangefinder,hydro_suspension,composite_armor,lwr
PT-16/T14 mod.,Germany,False,7,Medium,120mm Rh120 L/44 cannon,120,Market,False,False,10,10,10,4671,4526,5523,160,200,250,232,232,232,4,4,81,73,81,73,True,False,False,False,True,True,False,False,True,False,False,False,False,False,False
Leopard 2AV,Germany,False,7,Medium,L7A3 (105mm),105,Market,False,False,10,10,10,4421,4284,5227,160,200,250,232,232,232,7.8,6,76,69,35,31,True,False,True,False,True,False,False,False,False,False,False,True,False,True,False
Leopard 2A5,Germany,True,8,Medium,Rh120 L/44 (120mm),120,Tech Tree,False,False,11.7,11.7,11.7,4665,4530,5737,150,190,210,250,250,250,7.8,6,76,69,35,31,True,False,True,False,True,False,False,False,False,False,True,True,False,True,False
Leopard 2A6,Germany,True,8,Medium,Rh120 L/55 (120mm),120,Tech Tree,False,False,11.7,11.7,11.7,4712,4567,5780,160,200,210,256,256,256,7.8,6,76,69,35,31,True,False,True,False,True,False,False,False,False,False,True,True,False,True,False
Leopard 2 PSO,Germany,False,8,Medium,Rh120 L/44 (120mm),120,Tech Tree,False,False,11.7,11.7,11.7,4495,4356,5514,160,200,210,256,256,256,7.8,6,76,69,37,33,True,False,True,False,True,False,False,True,False,False,True,True,False,True,False
Leopard 2A7V,Germany,False,8,Medium,120mm Rh120 L/55 A1 cannon,120,Tech Tree,False,False,11.7,11.7,11.7,4313,4176,5284,160,200,210,262,262,262,7.8,6,68,62,31,28,True,False,True,False,True,False,False,False,False,False,True,True,False,True,False
FlaRakRad,Germany,False,8,SPAA,Roland SAM,165,Tech Tree,False,False,11.7,11.7,11.7,5082,6055,6794,160,210,200,250,250,250,5,5,110,101,39,36,False,False,True,False,True,False,False,False,True,False,True,True,False,False,False
Leopard 2 PL,Germany,False,8,Medium,120mm Rh120 L/44 cannon,120,Squadron,False,False,11.3,11.3,11.3,4627,4517,5734,150,190,210,250,250,250,7.8,6,76,69,35,31,True,False,True,False,True,False,False,False,False,False,True,True,False,True,False
Leopard 2A5 (YouTube Cup),Germany,False,8,Medium,Rh120 L/44 (120mm),120,Gift,False,False,11.7,11.7,11.7,4665,4530,5737,150,190,210,250,250,250,7.8,6,76,69,35,31,True,False,True,False,True,False,False,False,False,False,True,True,False,True,False
BT-5,USSR,False,1,Light,20-K (45mm),45,Tech Tree,False,True,1,1,1,0,0,0,10,10,10,100,100,100,3.8,2.9,57,51,12,10,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
BT-7,USSR,False,1,Light,20-K (45mm),45,Tech Tree,False,False,1.3,1.3,1.3,100,96,112,10,10,20,100,100,100,3.8,2.9,55,50,11,10,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
BT-7M,USSR,False,1,Light,20-K (45mm),45,Tech Tree,False,False,2,2,2,249,286,359,20,20,30,106,106,106,3.8,2.9,69,63,12,11,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
T-26,USSR,False,1,Light,20-K (45mm),45,Tech Tree,False,True,1,1,1,0,0,0,10,10,10,100,100,100,3.8,2.9,34,31,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
T-28 (1938),USSR,False,1,Medium,KT-28 (76mm),76,Tech Tree,False,False,1.7,1.3,1.3,132,110,120,10,10,20,100,100,100,5.2,4,43,39,8,8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
T-28,USSR,False,1,Medium,76mm L-10 cannon,76,Tech Tree,False,False,1.7,1.7,1.7,208,209,267,10,20,20,100,100,100,6.5,5,43,39,8,8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
T-26-4,USSR,False,1,Light,KT-28 (76mm),76,Tech Tree,False,False,1,1,1,106,95,111,10,10,20,100,100,100,5.2,4,34,31,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
T-60,USSR,False,1,Light,TNSh (20mm),20,Tech Tree,False,False,1,1,1,172,195,225,10,20,20,100,100,100,26,20,49,44,7,6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
T-70,USSR,False,1,Light,20-K (45mm),45,Tech Tree,False,False,2,2,2,249,286,359,20,20,30,106,106,106,5.2,4,50,45,6,6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
SU-5-1,USSR,False,1,Tank destroyer,76mm 1902/30 cannon,76,Tech Tree,False,False,1,1,1,90,112,126,10,20,20,100,100,100,5.6,4.3,33,31,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
SU-76M,USSR,False,1,Tank destroyer,ZIS-3 (76mm),76,Tech Tree,False,False,2,2,2,308,330,414,20,30,40,106,106,106,7.8,6,34,31,6,6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GAZ-AAA (4M),USSR,False,1,SPAA,4x 7.62mm Maxim`s machine gun,7.62,Tech Tree,False,False,1,1,1,100,86,139,10,10,20,100,100,100,78,60,71,65,10,9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GAZ-AAA (DShK),USSR,False,1,SPAA,12.7mm DShK machine gun,12.7,Tech Tree,False,False,1,1,1,198,179,261,20,20,20,100,100,100,10.4,8,71,65,10,9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
T-26 (1st Gv.T.Br.),USSR,False,1,Light,20-K (45mm),45,GE,True,False,1,1,1,322,280,422,40,40,60,150,150,150,3.8,2.9,34,31,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
BT-7 TD,USSR,False,1,Light,20-K (45mm),45,Gift,False,False,1.3,1.3,1.3,172,182,214,10,20,20,100,100,100,3.8,2.9,55,50,11,10,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
T-35,USSR,False,1,Heavy,76mm KT-28 cannon,76,GE,True,False,1.3,1.3,1.3,3307,361,511,60,60,80,212,212,212,5.2,4,30,28,5,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
SU-57,USSR,False,1,Tank destroyer,57mm M1 cannon,57,GE,True,False,2.3,2.3,2.3,559,231,277,60,60,80,212,212,212,5.2,4,80,73,19,17,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
T-III (USSR),USSR,False,1,Medium,KwK L/42 (50mm),50,GE,True,False,2.3,2.3,2.3,857,428,495,80,80,100,224,224,224,5.2,4,60,54,12,10,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
T-26E,USSR,False,1,Light,20-K (45mm),45,Market,True,False,1.3,1.3,1.3,410,218,140,40,40,40,200,200,200,3.8,2.9,34,31,4,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
RBT-5,USSR,False,1,Light,20-K (45mm),45,Market,True,False,1.3,1.3,1.3,570,358,285,80,80,100,224,224,224,3.8,2.9,57,51,12,10,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
BA-11,USSR,False,1,Light,20-K (45mm),45,Market,True,False,1.3,1.3,1.3,410,218,140,40,40,40,200,200,200,3.8,2.9,72,65,65,58,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
BM-8-24,USSR,False,1,Tank destroyer,82mm M-8 rocket,82,GE,True,False,1.3,1.3,1.3,1244,1328,726,120,160,160,224,224,224,10.4,8,47,44,7,6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
T-50,USSR,False,2,Light,20-K (45mm),45,Tech Tree,False,False,2.7,2.7,2.7,338,380,477,30,30,30,112,112,112,3.8,2.9,58,53,8,7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
T-34 (1940),USSR,True,2,Medium,76mm L-11 cannon,76,Tech Tree,False,False,3.3,3.3,2.7,553,631,767,30,50,60,118,118,118,9.3,7.1,55,49,8,7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
T-34 (1941),USSR,True,2,Medium,F-34 (76mm),76,Tech Tree,False,False,3.7,3.7,3.7,678,779,990,40,70,80,124,124,124,9,6.9,55,49,8,7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
T-34 (1942),USSR,True,2,Medium,F-34 (76mm),76,Tech Tree,False,False,4,4,4,651,773,1002,40,70,80,124,124,124,8.4,6.5,55,49,8,7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
T-34E STZ,USSR,True,2,Medium,F-34 (76mm),76,Tech Tree,False,False,4,4,3.7,856,1014,1273,50,80,90,130,130,130,9,6.9,63,57,9,8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
T-28E,USSR,False,2,Medium,76mm L-10 cannon,76,Tech Tree,False,False,2.3,2.3,2.3,417,446,559,30,40,40,112,112,112,6.5,5,43,39,8,7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
KV-1 (L-11),USSR,True,2,Heavy,76mm L-11 cannon,76,Tech Tree,False,False,3.7,3.7,3.7,747,769,995,40,60,60,118,118,118,9.3,7.1,39,37,7,7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
KV-2 (1939),USSR,True,2,Heavy,M-10T (152mm),152,Tech Tree,False,False,3.7,3.7,3.7,957,985,1281,60,80,90,124,124,124,43.3,33.3,37,35,7,7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
KV-1S,USSR,False,2,Heavy,76mm ZIS-5 cannon,76,Tech Tree,False,False,4,4,4,1129,1184,1551,60,90,100,130,130,130,9,6.9,48,45,19,18,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
T-80,USSR,False,2,Light,20-K (45mm),45,Tech Tree,False,False,2,2.3,2.3,316,361,480,30,30,30,112,112,112,3.2,2.5,51,46,7,6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ZiS-30,USSR,True,2,Tank destroyer,ZIS-2 (57mm),57,Tech Tree,False,False,2.3,2.3,2.3,412,480,576,30,50,60,112,112,112,6.5,5,47,43,6,6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
SU-57B,USSR,True,2,Tank destroyer,ZIS-4 (57mm),57,Tech Tree,False,False,2.7,2.7,2.7,622,692,808,40,60,70,118,118,118,5.6,4.3,44,40,6,6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
SU-122,USSR,False,2,Tank destroyer,M-30 (122mm),122,Tech Tree,False,False,2.7,2.7,2.7,600,660,801,40,60,70,118,118,118,23.6,18.2,60,55,10,9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
YaG-10 (29-K),USSR,False,2,Tank destroyer,76mm 3-K cannon,76,Tech Tree,False,False,3.3,3.3,3.3,722,860,1045,50,80,100,124,124,124,6.5,5,48,45,6,6,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
GAZ-MM (72-K),USSR,False,2,SPAA,25mm 72-K cannon,25,Tech Tree,False,False,2.3,2.3,2.3,446,376,585,30,40,50,112,112,112,0.3,0.2,77,71,10,9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
BTR-152A,USSR,False,2,SPAA,2x KPVT (14.5mm),14.5,Tech Tree,False,False,3,2.7,2.7,678,531,821,40,50,60,118,118,118,10.4,8,91,83,12,11,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ZiS-12 (94-KM),USSR,True,2,SPAA,2x 25mm 72-K cannon,25,Tech Tree,False,False,3.7,3,3,852,687,1061,60,60,80,124,124,124,0.3,0.2,56,51,8,7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ZiS-43,USSR,True,2,SPAA,61-K (37mm),37,Tech Tree,False,False,4,2.7,2.7,1104,843,1302,60,80,100,130,130,130,0.6,0.5,39,35,9,9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ZUT-37,USSR,False,2,SPAA,Sh-37 (37mm),37,GE,True,False,2.3,2.3,2.3,531,837,1988,120,140,220,248,248,248,6.5,5,46,43,6,6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
T-126,USSR,False,2,Light,20-K (45mm),45,Pack,True,False,3,3,3,778,503,1456,80,80,140,236,236,236,3.8,2.9,40,36,6,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
T-34 (Prototype),USSR,False,2,Medium,76mm L-11 cannon,76,Gift,True,False,3.3,3.3,2.7,780,419,593,80,100,120,236,236,236,9.3,7.1,60,54,10,9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
BT-7A (F-32),USSR,False,2,Light,F-32 (76mm),76,Market,True,False,3.7,3.7,3.7,931,484,655,100,120,160,248,248,248,8.1,6.3,55,50,11,10,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
SMK,USSR,False,2,Heavy,L-11 (76mm),76,GE,True,False,3.7,3.7,3.7,824,796,2418,160,220,280,272,272,272,8.1,6.3,38,36,5,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
T-34 (1st Gv.T.Br.),USSR,False,2,Medium,F-34 (76mm),76,Gift,True,False,3.7,3.7,3.7,802,452,523,80,100,120,236,236,236,9,6.9,55,49,8,7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
T-34E,USSR,False,2,Medium,F-34 (76mm),76,Market,True,False,4,4,3.7,666,677,796,100,160,180,260,260,260,9,6.9,48,43,7,7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
SU-76M (5th Gv.Kav.Corps),USSR,False,2,Tank destroyer,ZIS-3 (76mm),76,Market,True,False,2,2,2,492,825,1854,80,140,220,236,236,236,7.8,6,34,31,6,6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
SU-76D,USSR,False,2,Tank destroyer,F-34 (76mm),76,Market,True,False,2.3,2.3,2.3,485,778,1186,80,140,200,236,236,236,9,6.9,40,36,6,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
M3 Medium (USSR),USSR,False,2,Medium,M5 (37mm),37,Market,True,False,2.3,2.7,2.7,848,404,505,80,100,120,236,236,236,3.7,2.9,43,39,6,6,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
BM-13N,USSR,False,2,Tank destroyer,132mm M13 rocket,132,Market,True,False,2.7,2.7,2.7,1506,1542,1456,180,280,300,272,272,272,10.4,8,79,73,11,10,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
MK-II "Matilda" (USSR),USSR,False,2,Heavy,F-96 (76mm),76,Market,True,False,3.7,3.3,3.3,783,769,1848,140,200,220,260,260,260,9,6.9,26,24,5,4,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
MK-IX "Valentine" (USSR),USSR,False,2,Medium,6pdr OQF Mk.III (57mm),57,Gift,True,False,3,3,3,745,552,2181,100,140,220,248,248,248,5.2,4,27,25,4,3,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
SU-85A,USSR,False,2,Tank destroyer,85mm D-5S cannon,85,Market,True,False,4,4,4,794,950,1040,160,240,300,284,284,284,9.6,7.4,44,41,6,6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
T-34-57,USSR,False,3,Medium,ZIS-4 (57mm),57,Tech Tree,False,False,4.7,4.7,4.7,1115,1300,1640,70,110,130,142,142,142,6.5,5,55,49,8,7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
T-34-85 (D-5T),USSR,False,3,Medium,D-5T (85mm),85,Tech Tree,False,False,5.3,5.3,5.3,1584,1899,2487,80,130,160,154,154,154,10.8,8.3,62,55,10,9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
KV-1 (ZiS-5),USSR,True,3,Heavy,76mm ZIS-5 cannon,76,Tech Tree,False,False,4.7,4.7,4.7,1188,1313,1793,60,90,100,136,136,136,9,6.9,37,35,7,7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
KV-85,USSR,True,3,Heavy,D-5T (85mm),85,Tech Tree,False,False,5,5,5,1389,1487,2101,70,110,130,142,142,142,9.6,7.4,37,35,14,14,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
IS-1,USSR,False,3,Heavy,D-5T (85mm),85,Tech Tree,False,False,5.7,5.7,5.7,2010,2176,3022,90,140,150,154,154,154,9.6,7.4,40,38,16,15,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ASU-57,USSR,False,3,Tank destroyer,Ch-51M (57mm),57,Tech Tree,False,False,3.7,4.3,4.3,889,1120,1459,70,100,140,136,136,136,6.5,5,50,46,6,6,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
PT-76B,USSR,False,3,Light,D-56TS (76mm),76,Tech Tree,False,False,5,5.3,5.3,1122,1394,1682,80,120,170,154,154,154,6.5,5,49,44,8,7,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False
SU-152,USSR,True,3,Tank destroyer,ML-20S (152mm),152,Tech Tree,False,False,4.3,4,4.3,1080,1230,1658,70,100,140,136,136,136,27.7,21.3,47,43,18,17,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
SU-85,USSR,True,3,Tank destroyer,85mm D-5S cannon,85,Tech Tree,False,False,4.3,4.3,4.3,1226,1462,1903,80,120,150,142,142,142,9.6,7.4,60,55,10,9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ISU-152,USSR,True,3,Tank destroyer,ML-20S (152mm),152,Tech Tree,False,False,4.7,4.7,4.7,1443,1683,2183,90,130,170,148,148,148,27.7,21.3,39,36,15,14,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
SU-85M,USSR,True,3,Tank destroyer,85mm D-5S cannon,85,Tech Tree,False,False,5,5,5,1464,1724,2367,90,140,170,148,148,148,9.6,7.4,60,55,10,9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ISU-122,USSR,True,3,Tank destroyer,A-19 (122mm),122,Tech Tree,False,False,5.3,5.3,5.3,1832,2174,3006,100,150,190,154,154,154,26,20,39,36,15,14,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ZSU-37,USSR,False,3,SPAA,61-K (37mm),37,Tech Tree,False,False,4,3.7,3.7,1234,983,1475,70,90,130,136,136,136,0.6,0.5,46,43,6,6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
BTR-152D,USSR,False,3,SPAA,4x KPVT (14.5mm),14.5,Tech Tree,False,False,4,3.7,3.7,1416,1108,1673,90,100,150,142,142,142,10.4,8,91,83,12,11,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
BM-31-12,USSR,False,3,Tank destroyer,300mm M-31 rocket,300,Gift,True,False,4,4,4,1761,2092,1524,180,280,300,272,272,272,10.4,8,79,73,11,10,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
T-34-57 (1943),USSR,False,3,Medium,ZIS-4M (57mm),57,GE,True,False,4.7,4.7,4.7,1056,1264,1569,160,260,320,308,308,308,6.5,5,55,49,8,7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
M4A2 (USSR),USSR,False,3,Medium,M1 (76mm),76,GE,True,False,5.3,5.3,5.3,1319,1532,2031,180,300,360,320,320,320,7.6,5.9,52,46,7,6,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Ph?ng kh?ng T-34 (USSR),USSR,False,3,SPAA,2x Type 65 (37mm),37,Gift,True,False,5.7,5,5,2187,1658,2642,240,300,440,332,332,332,1.3,1,60,55,10,9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
KV-2 (1940),USSR,False,3,Heavy,M-10T (152mm),152,Market,True,False,3.7,3.7,3.7,1283,1352,1834,220,300,320,308,308,308,43.3,33.3,37,35,7,7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
KV-1E,USSR,False,3,Heavy,F-32 (76mm),76,Gift,True,False,4.3,4,4.3,953,1127,1508,160,260,260,296,296,296,8.1,6.3,37,35,7,7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
SU-100Y,USSR,False,3,Tank destroyer,B-13 (130mm),130,GE,True,False,5,4.7,4.7,1455,1693,2335,220,320,420,320,320,320,25,19.2,36,33,5,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
KV-2 (ZiS-6),USSR,False,3,Heavy,107mm ZIS-6 cannon,107,GE,True,False,5,5,5,1921,2085,2983,220,340,380,332,332,332,21.7,16.7,37,35,7,7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
T-34-85,USSR,False,4,Medium,ZIS-S-53 (85mm),85,Tech Tree,False,False,5.7,5.7,5.7,2073,2484,3204,100,150,180,160,160,160,9.6,7.4,62,55,10,9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
T-44,USSR,False,4,Medium,ZIS-S-53 (85mm),85,Tech Tree,False,False,6.7,6.7,6.7,3583,4192,5456,120,180,210,178,178,178,9.6,7.4,66,59,10,9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
IS-2,USSR,False,4,Heavy,D-25T (122mm),122,Tech Tree,False,False,6.3,6.3,6.3,3479,3730,5172,110,170,190,166,166,166,27.1,20.8,40,38,16,15,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
IS-2 (1944),USSR,True,4,Heavy,D-25T (122mm),122,Tech Tree,False,False,6.7,6.7,6.7,3966,4075,5590,130,190,210,172,172,172,27.1,20.8,40,38,16,15,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
IS-2 No.321,USSR,True,4,Heavy,D-25T (122mm),122,Gift,False,False,6.7,6.7,6.7,4506,4642,6373,140,190,220,178,178,178,27.1,20.8,40,38,16,15,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
ASU-85,USSR,False,4,Tank destroyer,85mm D-70 cannon,85,Tech Tree,False,False,6.3,6.3,6.3,2947,3298,4594,120,190,250,172,172,172,7.8,6,49,45,6,6,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False
SU-100P,USSR,False,4,Tank destroyer,D-50 (100mm),100,Tech Tree,False,False,6.3,6.3,6.3,3895,4375,5938,130,200,250,178,178,178,9.8,7.5,69,64,26,24,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ISU-122S,USSR,True,4,Tank destroyer,D-25S (122mm),122,Tech Tree,False,False,5.7,5.7,5.7,2427,2866,3956,100,160,210,160,160,160,19.7,15.2,39,36,15,14,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
SU-100,USSR,True,4,Tank destroyer,D-10S (100mm),100,Tech Tree,False,False,6,6,6,3007,3443,4617,110,180,230,166,166,166,13.7,10.5,55,50,9,8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2S1,USSR,True,4,Tank destroyer,122mm 2A31 cannon,122,Tech Tree,False,False,6,6,6,3459,4021,5268,120,190,250,172,172,172,13,10,66,61,12,11,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2S3M,USSR,True,4,Tank destroyer,152mm 2A33 cannon,152,Tech Tree,False,False,6.3,6.3,6.3,3524,3958,5372,130,200,250,178,178,178,17.3,13.3,66,60,16,15,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False
BTR-ZD,USSR,False,4,SPAA,2x 23mm ZU-23 cannon,23,Tech Tree,False,False,5.7,5.7,5.7,2356,1944,3007,110,140,200,160,160,160,13,10,67,62,7,7,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False
M53/59,USSR,False,4,SPAA,2x 30mm ZK453 cannon,30,Tech Tree,False,False,6.3,6.3,6.3,4487,3300,4997,120,150,220,172,172,172,7.8,6,66,60,11,10,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
KV-122,USSR,False,4,Heavy,D-25T (122mm),122,GE,True,False,5.7,5.3,5.3,2437,2587,3599,240,360,400,344,344,344,27.1,20.8,37,35,14,14,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
T-34-85E,USSR,False,4,Medium,ZIS-S-53 (85mm),85,Gift,True,False,5.7,5.7,5.7,2069,2315,3088,220,360,420,344,344,344,9.6,7.4,62,55,10,9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
SU-122P,USSR,False,4,Tank destroyer,D-25S (122mm),122,GE,True,False,5.7,5.7,5.7,2213,2458,3397,240,380,500,344,344,344,21.7,16.7,61,56,10,9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
T-44-122,USSR,False,4,Medium,D-25-44T (122mm),122,GE,True,False,6.3,6.3,6.3,2256,2658,3495,240,360,420,356,356,356,30.2,23.3,66,59,10,9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
T-34-100,USSR,False,4,Medium,LB-1 (100mm),100,GE,True,False,6.3,6.3,6.3,2256,2658,3495,240,360,420,356,356,356,15,11.5,54,48,10,9,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
KV-220,USSR,False,4,Heavy,85mm F-30 cannon,85,Market,True,False,6,6,6,2154,2328,3157,220,340,380,332,332,332,9.6,7.4,37,35,7,7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
T-V (USSR),USSR,False,4,Medium,KwK42 (75mm),75,Market,True,False,6,6,6,1402,1758,2135,200,300,360,320,320,320,9.6,7.4,51,46,4,4,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
IS-2 "Revenge",USSR,False,4,Heavy,D-25T (122mm),122,Gift,True,False,6.7,6.7,6.7,3282,3397,4653,280,400,440,368,368,368,27.1,20.8,40,38,16,15,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Object 248,USSR,False,4,Heavy,100mm S-34 cannon,100,Market,True,False,6.7,6.7,6.7,3282,3401,4645,280,400,440,368,368,368,11.1,8.5,38,36,15,14,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Type 62 (USSR),USSR,False,4,Light,Type-62-85-TC (85mm),85,Market,False,False,6.7,6.7,6.7,3066,3732,4999,120,160,210,190,190,190,9.6,7.4,67,60,10,9,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
T-44-100,USSR,False,5,Medium,D-10T (100mm),100,Tech Tree,False,False,7,7,7,4005,4546,6276,130,200,220,190,190,190,13.7,10.5,66,59,10,9,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
T-54 (1947),USSR,True,5,Medium,D-10T (100mm),100,Tech Tree,False,False,7.7,7.7,7.7,4177,4653,6597,130,200,230,196,196,196,9.7,7.5,56,51,9,8,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
T-54 (1949),USSR,True,5,Medium,D-10T (100mm),100,Tech Tree,False,False,8,8,8,4224,4790,6759,140,210,230,202,202,202,9.7,7.5,56,51,9,8,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
T-54 (1951),USSR,True,5,Medium,D-10T (100mm),100,Tech Tree,False,False,8,8,8,4271,4757,6745,140,200,240,202,202,202,9.7,7.5,56,51,9,8,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
IS-3,USSR,False,5,Heavy,D-25T (122mm),122,Tech Tree,False,False,7.3,7.3,7.3,5184,5534,7660,150,200,230,190,190,190,26,20,43,41,17,16,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
IS-4M,USSR,False,5,Heavy,D-25T (122mm),122,Tech Tree,False,False,7.7,7.7,7.7,5577,5906,9398,150,210,250,202,202,202,27.1,20.8,46,43,12,11,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
BTR-80A,USSR,False,5,Light,30mm 2A72 automatic cannon,30,Tech Tree,False,False,7.3,7.3,7.3,2793,3383,4541,110,160,200,190,190,190,1.3,1,97,87,14,12,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False
BMP-1,USSR,True,5,Light,2A28 (73mm),73,Tech Tree,False,False,7.7,7.7,7.7,2549,3053,4152,110,160,210,196,196,196,6,6,73,66,13,12,False,True,True,True,True,False,False,False,True,False,False,False,False,False,False
